student_code,age,bac_level,subject,eval_type,mark
fbe6f26f00021e47a71e622f6dd0e7bdddacaf0ff64f1b37323bb794f1fff17d,16.833333333333332,2ème Année Bac Sciences Mathématiques A - Option Français,PHYSIQUE CHIMIE,National,5.0
fbe6f26f00021e47a71e622f6dd0e7bdddacaf0ff64f1b37323bb794f1fff17d,16.833333333333332,2ème Année Bac Sciences Mathématiques A - Option Français,PHILOSOPHIE,National,18.0
2d525e3f378124d38b8d1b49851fedf1f21ff31369417263cd54c2d1c6356bb4,16.916666666666668,2ème Année Bac Sciences Mathématiques A - Option Français,LANGUE ANGLAISE,National,13.0
2d525e3f378124d38b8d1b49851fedf1f21ff31369417263cd54c2d1c6356bb4,16.916666666666668,2ème Année Bac Sciences Mathématiques A - Option Français,MATHEMATIQUES,National,11.5
2d525e3f378124d38b8d1b49851fedf1f21ff31369417263cd54c2d1c6356bb4,16.916666666666668,2ème Année Bac Sciences Mathématiques A - Option Français,SC. DE LA VIE ET DE LA TERRE,National,14.0
2d525e3f378124d38b8d1b49851fedf1f21ff31369417263cd54c2d1c6356bb4,16.916666666666668,2ème Année Bac Sciences Mathématiques A - Option Français,PHYSIQUE CHIMIE,National,10.25
2d525e3f378124d38b8d1b49851fedf1f21ff31369417263cd54c2d1c6356bb4,16.916666666666668,2ème Année Bac Sciences Mathématiques A - Option Français,PHILOSOPHIE,National,15.0
ca02968947662cfa4a41e9914917a57d371182d9e193164efda21044e233e9b0,17.75,2ème Année Bac Sciences Mathématiques A - Option Français,LANGUE ANGLAISE,National,11.5
ca02968947662cfa4a41e9914917a57d371182d9e193164efda21044e233e9b0,17.75,2ème Année Bac Sciences Mathématiques A - Option Français,MATHEMATIQUES,National,8.0
ca02968947662cfa4a41e9914917a57d371182d9e193164efda21044e233e9b0,17.75,2ème Année Bac Sciences Mathématiques A - Option Français,SC. DE LA VIE ET DE LA TERRE,National,13.0
ca02968947662cfa4a41e9914917a57d371182d9e193164efda21044e233e9b0,17.75,2ème Année Bac Sciences Mathématiques A - Option Français,PHYSIQUE CHIMIE,National,7.0
ca02968947662cfa4a41e9914917a57d371182d9e193164efda21044e233e9b0,17.75,2ème Année Bac Sciences Mathématiques A - Option Français,PHILOSOPHIE,National,10.0
326b29650c9c33820917598b30d24a246c06e8780369b4a123276f564f2eaaa5,17.25,2ème Année Bac Sciences Physiques - Option Français,LANGUE ANGLAISE,National,18.0
326b29650c9c33820917598b30d24a246c06e8780369b4a123276f564f2eaaa5,17.25,2ème Année Bac Sciences Physiques - Option Français,MATHEMATIQUES,National,14.5
326b29650c9c33820917598b30d24a246c06e8780369b4a123276f564f2eaaa5,17.25,2ème Année Bac Sciences Physiques - Option Français,SC. DE LA VIE ET DE LA TERRE,National,19.5
326b29650c9c33820917598b30d24a246c06e8780369b4a123276f564f2eaaa5,17.25,2ème Année Bac Sciences Physiques - Option Français,PHYSIQUE CHIMIE,National,19.0
326b29650c9c33820917598b30d24a246c06e8780369b4a123276f564f2eaaa5,17.25,2ème Année Bac Sciences Physiques - Option Français,PHILOSOPHIE,National,16.0
e3b08d70bb276addeb9e9bf02879896619a78258bf266b1f3a91299b20049740,16.916666666666668,2ème Année Bac Sciences Physiques - Option Français,LANGUE ANGLAISE,National,12.25
